,participant,gender,age,language,logical_training,trials,response,aim,comments,type
32,anon1,male,27,english,No,X_XorY_dog_dogorele,2,to give commands,n.a,quatenary
33,anon1,male,27,english,No,X_XandY_dog_catanddog,2,to give commands,n.a,quatenary
34,anon1,male,27,english,No,X_XorY_cat_catorele,2,to give commands,n.a,quatenary
35,anon1,male,27,english,No,XY_XorY_dogele_dogorele,3,to give commands,n.a,quatenary
36,anon1,male,27,english,No,X_Z_dog_ele,0,to give commands,n.a,quatenary
37,anon1,male,27,english,No,XY_XandY_catdog_catanddog,3,to give commands,n.a,quatenary
38,anon1,male,27,english,No,X_XorY_dog_catordog,2,to give commands,n.a,quatenary
39,anon1,male,27,english,No,XY_XandY_dogele_dogandele,3,to give commands,n.a,quatenary
40,anon1,male,27,english,No,XY_Z_dogele_cat,0,to give commands,n.a,quatenary
41,anon1,male,27,english,No,XY_XorY_catdog_catordog,3,to give commands,n.a,quatenary
42,anon1,male,27,english,No,X_X_dog_dog,3,to give commands,n.a,quatenary
43,anon1,male,27,english,No,XY_Z_catdog_ele,0,to give commands,n.a,quatenary
44,anon1,male,27,english,No,XY_X_dogele_dog,2,to give commands,n.a,quatenary
45,anon1,male,27,english,No,XY_X_catdog_dog,2,to give commands,n.a,quatenary
46,anon1,male,27,english,No,XY_X_dogele_ele,2,to give commands,n.a,quatenary
47,anon1,male,27,english,No,X_X_cat_cat,3,to give commands,n.a,quatenary
48,anon1,male,27,english,No,X_X_ele_ele,3,to give commands,n.a,quatenary
49,anon10,male,35,english,No,XY_XorY_dogele_dogorele,1,unsure,none,binary
50,anon10,male,35,english,No,X_X_ele_ele,1,unsure,none,binary
51,anon10,male,35,english,No,X_Z_cat_dog,0,unsure,none,binary
52,anon10,male,35,english,No,XY_Z_catele_dog,0,unsure,none,binary
53,anon10,male,35,english,No,X_X_cat_cat,1,unsure,none,binary
54,anon10,male,35,english,No,XY_XandY_catele_catandele,1,unsure,none,binary
55,anon10,male,35,english,No,XY_X_dogele_ele,1,unsure,none,binary
56,anon10,male,35,english,No,X_XandY_dog_dogandele,0,unsure,none,binary
57,anon10,male,35,english,No,X_Z_ele_cat,0,unsure,none,binary
58,anon10,male,35,english,No,XY_XandY_dogele_dogandele,1,unsure,none,binary
59,anon10,male,35,english,No,X_X_dog_dog,1,unsure,none,binary
60,anon10,male,35,english,No,X_Z_dog_cat,0,unsure,none,binary
61,anon10,male,35,english,No,XY_X_catdog_dog,1,unsure,none,binary
62,anon10,male,35,english,No,XY_XorY_catele_catorele,1,unsure,none,binary
63,anon10,male,35,english,No,XY_X_dogele_dog,1,unsure,none,binary
64,anon10,male,35,english,No,X_XandY_ele_catandele,0,unsure,none,binary
65,anon10,male,35,english,No,XY_XorY_catdog_catordog,1,unsure,none,binary
66,anon10,male,35,english,No,XY_XandY_catdog_catanddog,1,unsure,none,binary
67,anon10,male,35,english,No,X_XorY_cat_catorele,1,unsure,none,binary
68,anon10,male,35,english,No,X_XandY_dog_catanddog,0,unsure,none,binary
69,anon10,male,35,english,No,X_XorY_ele_catorele,1,unsure,none,binary
70,anon10,male,35,english,No,XY_Z_dogele_cat,0,unsure,none,binary
71,anon10,male,35,english,No,X_XorY_dog_catordog,1,unsure,none,binary
72,anon10,male,35,english,No,XY_Z_catdog_ele,0,unsure,none,binary
73,anon11,female,27,English,No,XY_XorY_dogele_dogorele,1,And vs or,no,binary
74,anon11,female,27,English,No,X_X_cat_cat,1,And vs or,no,binary
75,anon11,female,27,English,No,X_XandY_dog_dogandele,0,And vs or,no,binary
76,anon11,female,27,English,No,X_Z_dog_cat,0,And vs or,no,binary
77,anon11,female,27,English,No,X_XandY_ele_dogandele,0,And vs or,no,binary
78,anon11,female,27,English,No,XY_X_dogele_ele,1,And vs or,no,binary
79,anon11,female,27,English,No,X_Z_dog_ele,0,And vs or,no,binary
80,anon11,female,27,English,No,X_XandY_ele_catandele,0,And vs or,no,binary
81,anon11,female,27,English,No,XY_XandY_dogele_dogandele,1,And vs or,no,binary
82,anon11,female,27,English,No,XY_X_catele_cat,1,And vs or,no,binary
83,anon11,female,27,English,No,XY_Z_catele_dog,0,And vs or,no,binary
84,anon11,female,27,English,No,X_XorY_cat_catorele,1,And vs or,no,binary
85,anon11,female,27,English,No,X_XorY_dog_catordog,1,And vs or,no,binary
86,anon11,female,27,English,No,XY_XorY_catele_catorele_catorele,1,And vs or,no,binary
87,anon11,female,27,English,No,XY_Z_catdog_ele,0,And vs or,no,binary
88,anon11,female,27,English,No,XY_XandY_catdog_catanddog,1,And vs or,no,binary
89,anon11,female,27,English,No,X_Z_ele_cat,0,And vs or,no,binary
90,anon11,female,27,English,No,XY_X_catele_ele,1,And vs or,no,binary
91,anon11,female,27,English,No,X_X_dog_dog_dog,1,And vs or,no,binary
92,anon11,female,27,English,No,X_XorY_ele_catorele,1,And vs or,no,binary
93,anon11,female,27,English,No,X_X_ele_ele,1,And vs or,no,binary
94,anon11,female,27,English,No,XY_Z_dogele_cat,0,And vs or,no,binary
95,anon11,female,27,English,No,XY_XorY_catdog_catordog,1,And vs or,no,binary
96,anon11,female,27,English,No,XY_XandY_catele_catandele,1,And vs or,no,binary
97,anon12,male,28,english,No,XY_Z_catdog_ele,0,not really sure,,quatenary
98,anon12,male,28,english,No,X_XandY_dog_catanddog,2,not really sure,,quatenary
99,anon12,male,28,english,No,X_XandY_ele_dogandele,1,not really sure,,quatenary
100,anon12,male,28,english,No,XY_Z_dogele_cat,2,not really sure,,quatenary
101,anon12,male,28,english,No,XY_XandY_catdog_catanddog,2,not really sure,,quatenary
102,anon12,male,28,english,No,X_Z_ele_dog,1,not really sure,,quatenary
103,anon12,male,28,english,No,X_XorY_dog_dogorele,3,not really sure,,quatenary
104,anon12,male,28,english,No,XY_X_catdog_cat,2,not really sure,,quatenary
105,anon12,male,28,english,No,X_Z_cat_dog,0,not really sure,,quatenary
106,anon12,male,28,english,No,XY_Z_catele_dog,0,not really sure,,quatenary
107,anon12,male,28,english,No,X_Z_cat_ele,0,not really sure,,quatenary
108,anon12,male,28,english,No,X_X_dog_dog,0,not really sure,,quatenary
109,anon12,male,28,english,No,XY_XorY_catdog_catordog,0,not really sure,,quatenary
110,anon12,male,28,english,No,XY_XandY_dogele_dogandele,0,not really sure,,quatenary
111,anon12,male,28,english,No,XY_XorY_catele_catorele_catorele,2,not really sure,,quatenary
112,anon12,male,28,english,No,X_XorY_dog_catordog,3,not really sure,,quatenary
113,anon12,male,28,english,No,X_X_cat_cat,2,not really sure,,quatenary
114,anon12,male,28,english,No,XY_X_catdog_dog,2,not really sure,,quatenary
115,anon12,male,28,english,No,X_XandY_cat_catandele,2,not really sure,,quatenary
116,anon12,male,28,english,No,X_XorY_cat_catorele,2,not really sure,,quatenary
117,anon12,male,28,english,No,XY_XorY_dogele_dogorele,2,not really sure,,quatenary
118,anon12,male,28,english,No,XY_XandY_catele_catandele,2,not really sure,,quatenary
119,anon12,male,28,english,No,X_X_ele_ele,2,not really sure,,quatenary
120,anon12,male,28,english,No,XY_X_dogele_ele,1,not really sure,,quatenary
121,anon13,male,32,English,Yes,X_X_ele_ele,100,Not really sure. ,Interesting study.,slider
122,anon13,male,32,English,Yes,XY_XandY_catele_catandele,100,Not really sure. ,Interesting study.,slider
123,anon13,male,32,English,Yes,X_X_cat_cat,97,Not really sure. ,Interesting study.,slider
124,anon13,male,32,English,Yes,X_X_dog_dog,99,Not really sure. ,Interesting study.,slider
125,anon13,male,32,English,Yes,X_XorY_cat_catordog,91,Not really sure. ,Interesting study.,slider
126,anon13,male,32,English,Yes,XY_X_catele_ele,85,Not really sure. ,Interesting study.,slider
127,anon13,male,32,English,Yes,X_XandY_cat_catandele,15,Not really sure. ,Interesting study.,slider
128,anon13,male,32,English,Yes,XY_Z_dogele_cat,0,Not really sure. ,Interesting study.,slider
129,anon13,male,32,English,Yes,XY_XandY_dogele_dogandele,100,Not really sure. ,Interesting study.,slider
130,anon13,male,32,English,Yes,XY_Z_catdog_ele,0,Not really sure. ,Interesting study.,slider
131,anon13,male,32,English,Yes,X_Z_dog_ele,0,Not really sure. ,Interesting study.,slider
132,anon13,male,32,English,Yes,XY_XandY_catdog_catanddog,100,Not really sure. ,Interesting study.,slider
133,anon13,male,32,English,Yes,XY_XorY_catdog_catordog,80,Not really sure. ,Interesting study.,slider
134,anon13,male,32,English,Yes,X_Z_ele_cat,0,Not really sure. ,Interesting study.,slider
135,anon13,male,32,English,Yes,XY_XorY_dogele_dogorele,92,Not really sure. ,Interesting study.,slider
136,anon13,male,32,English,Yes,XY_Z_catele_dog,0,Not really sure. ,Interesting study.,slider
137,anon13,male,32,English,Yes,X_XandY_dog_dogandele,0,Not really sure. ,Interesting study.,slider
138,anon13,male,32,English,Yes,XY_X_catele_cat,82,Not really sure. ,Interesting study.,slider
139,anon13,male,32,English,Yes,XY_XorY_catele_catorele,78,Not really sure. ,Interesting study.,slider
140,anon13,male,32,English,Yes,X_XorY_ele_catorele,82,Not really sure. ,Interesting study.,slider
141,anon13,male,32,English,Yes,XY_X_dogele_dog,70,Not really sure. ,Interesting study.,slider
142,anon13,male,32,English,Yes,X_Z_dog_cat,0,Not really sure. ,Interesting study.,slider
143,anon13,male,32,English,Yes,X_XandY_cat_catanddog,17,Not really sure. ,Interesting study.,slider
144,anon13,male,32,English,Yes,X_XorY_cat_catorele,67,Not really sure. ,Interesting study.,slider
145,anon14,male,35,English,Yes,XY_X_catdog_dog,1,something to do with logic,"no, thank you.",binary
146,anon14,male,35,English,Yes,X_Z_cat_dog,0,something to do with logic,"no, thank you.",binary
147,anon14,male,35,English,Yes,X_X_ele_ele,1,something to do with logic,"no, thank you.",binary
148,anon14,male,35,English,Yes,XY_XandY_dogele_dogandele,1,something to do with logic,"no, thank you.",binary
149,anon14,male,35,English,Yes,X_XandY_cat_catanddog,0,something to do with logic,"no, thank you.",binary
150,anon14,male,35,English,Yes,XY_XandY_catele_catandele,1,something to do with logic,"no, thank you.",binary
151,anon14,male,35,English,Yes,X_XandY_dog_catanddog,0,something to do with logic,"no, thank you.",binary
152,anon14,male,35,English,Yes,X_XorY_dog_catordog,1,something to do with logic,"no, thank you.",binary
153,anon14,male,35,English,Yes,X_XorY_ele_dogorele,1,something to do with logic,"no, thank you.",binary
154,anon14,male,35,English,Yes,XY_X_dogele_ele,1,something to do with logic,"no, thank you.",binary
155,anon14,male,35,English,Yes,X_X_dog_dog,1,something to do with logic,"no, thank you.",binary
156,anon14,male,35,English,Yes,X_Z_dog_cat,0,something to do with logic,"no, thank you.",binary
157,anon14,male,35,English,Yes,XY_Z_dogele_cat,0,something to do with logic,"no, thank you.",binary
158,anon14,male,35,English,Yes,XY_Z_catdog_ele,0,something to do with logic,"no, thank you.",binary
159,anon14,male,35,English,Yes,XY_Z_catele_dog,0,something to do with logic,"no, thank you.",binary
160,anon14,male,35,English,Yes,X_X_cat_cat_cat,1,something to do with logic,"no, thank you.",binary
161,anon14,male,35,English,Yes,X_XorY_cat_catordog,1,something to do with logic,"no, thank you.",binary
162,anon14,male,35,English,Yes,X_Z_ele_dog,0,something to do with logic,"no, thank you.",binary
163,anon14,male,35,English,Yes,XY_XorY_catele_catorele,1,something to do with logic,"no, thank you.",binary
164,anon14,male,35,English,Yes,XY_XandY_catdog_catanddog,1,something to do with logic,"no, thank you.",binary
165,anon14,male,35,English,Yes,XY_XorY_dogele_dogorele,1,something to do with logic,"no, thank you.",binary
166,anon14,male,35,English,Yes,XY_X_catdog_cat,1,something to do with logic,"no, thank you.",binary
167,anon14,male,35,English,Yes,X_XandY_cat_catandele,0,something to do with logic,"no, thank you.",binary
168,anon14,male,35,English,Yes,XY_XorY_catdog_catordog_catordog,1,something to do with logic,"no, thank you.",binary
169,anon15,female,25,english,Yes,XY_XandY_dogele_dogandele,1,unsure,no,ternary
170,anon15,female,25,english,Yes,XY_XandY_catdog_catanddog,1,unsure,no,ternary
171,anon15,female,25,english,Yes,XY_Z_catdog_ele,0,unsure,no,ternary
172,anon15,female,25,english,Yes,X_X_dog_dog,1,unsure,no,ternary
173,anon15,female,25,english,Yes,X_Z_ele_cat,0,unsure,no,ternary
174,anon15,female,25,english,Yes,X_Z_dog_cat,0,unsure,no,ternary
175,anon15,female,25,english,Yes,XY_X_catdog_cat,2,unsure,no,ternary
176,anon15,female,25,english,Yes,XY_XandY_catele_catandele,1,unsure,no,ternary
177,anon15,female,25,english,Yes,XY_XorY_dogele_dogorele,2,unsure,no,ternary
178,anon15,female,25,english,Yes,X_XorY_ele_catorele,1,unsure,no,ternary
179,anon15,female,25,english,Yes,XY_X_catele_cat,2,unsure,no,ternary
180,anon15,female,25,english,Yes,XY_X_dogele_ele,2,unsure,no,ternary
181,anon15,female,25,english,Yes,X_Z_dog_ele,0,unsure,no,ternary
182,anon15,female,25,english,Yes,X_XorY_dog_dogorele,1,unsure,no,ternary
183,anon15,female,25,english,Yes,XY_Z_catele_dog,0,unsure,no,ternary
184,anon15,female,25,english,Yes,X_XandY_ele_dogandele,0,unsure,no,ternary
185,anon15,female,25,english,Yes,XY_XorY_catele_catorele,1,unsure,no,ternary
186,anon15,female,25,english,Yes,X_X_ele_ele,1,unsure,no,ternary
187,anon15,female,25,english,Yes,X_X_cat_cat,1,unsure,no,ternary
188,anon15,female,25,english,Yes,XY_XorY_catdog_catordog_catordog,2,unsure,no,ternary
189,anon15,female,25,english,Yes,X_XorY_dog_catordog,1,unsure,no,ternary
190,anon15,female,25,english,Yes,X_XandY_cat_catanddog,0,unsure,no,ternary
191,anon15,female,25,english,Yes,X_XandY_ele_catandele,0,unsure,no,ternary
192,anon15,female,25,english,Yes,XY_Z_dogele_cat,0,unsure,no,ternary
193,anon17,female,30,English,No,X_XorY_dog_catordog,1,To interpret how we interpreted language,,ternary
194,anon17,female,30,English,No,X_Z_cat_ele,0,To interpret how we interpreted language,,ternary
195,anon17,female,30,English,No,X_X_ele_ele_ele,1,To interpret how we interpreted language,,ternary
196,anon17,female,30,English,No,XY_XorY_dogele_dogorele,2,To interpret how we interpreted language,,ternary
197,anon17,female,30,English,No,X_XandY_ele_dogandele,0,To interpret how we interpreted language,,ternary
198,anon17,female,30,English,No,X_XorY_ele_dogorele,1,To interpret how we interpreted language,,ternary
199,anon17,female,30,English,No,XY_XorY_catdog_catordog,2,To interpret how we interpreted language,,ternary
200,anon17,female,30,English,No,XY_XandY_dogele_dogandele,1,To interpret how we interpreted language,,ternary
201,anon17,female,30,English,No,X_Z_ele_dog,0,To interpret how we interpreted language,,ternary
202,anon17,female,30,English,No,XY_X_catele_cat,1,To interpret how we interpreted language,,ternary
203,anon17,female,30,English,No,XY_XorY_catele_catorele,2,To interpret how we interpreted language,,ternary
204,anon17,female,30,English,No,X_XandY_cat_catandele,0,To interpret how we interpreted language,,ternary
205,anon17,female,30,English,No,XY_XandY_catele_catandele,1,To interpret how we interpreted language,,ternary
206,anon17,female,30,English,No,X_XandY_cat_catanddog,0,To interpret how we interpreted language,,ternary
207,anon17,female,30,English,No,X_XorY_cat_catorele,1,To interpret how we interpreted language,,ternary
208,anon17,female,30,English,No,XY_XandY_catdog_catanddog,1,To interpret how we interpreted language,,ternary
209,anon17,female,30,English,No,XY_Z_dogele_cat,0,To interpret how we interpreted language,,ternary
210,anon17,female,30,English,No,X_Z_ele_cat,0,To interpret how we interpreted language,,ternary
211,anon17,female,30,English,No,X_X_cat_cat,1,To interpret how we interpreted language,,ternary
212,anon17,female,30,English,No,XY_X_catdog_dog,1,To interpret how we interpreted language,,ternary
213,anon17,female,30,English,No,XY_X_catdog_cat,1,To interpret how we interpreted language,,ternary
214,anon17,female,30,English,No,XY_Z_catele_dog,0,To interpret how we interpreted language,,ternary
215,anon17,female,30,English,No,X_X_dog_dog,1,To interpret how we interpreted language,,ternary
216,anon17,female,30,English,No,XY_Z_catdog_ele,0,To interpret how we interpreted language,,ternary
217,anon18,male,34,English,Yes,X_XorY_cat_catordog,1,Not sure,,ternary
218,anon18,male,34,English,Yes,X_XandY_ele_catandele,2,Not sure,,ternary
219,anon18,male,34,English,Yes,XY_X_catele_cat,0,Not sure,,ternary
220,anon18,male,34,English,Yes,XY_XandY_catele_catandele,0,Not sure,,ternary
221,anon18,male,34,English,Yes,XY_XorY_catele_catorele,1,Not sure,,ternary
222,anon18,male,34,English,Yes,XY_X_dogele_dog,0,Not sure,,ternary
223,anon18,male,34,English,Yes,XY_X_catdog_cat,1,Not sure,,ternary
224,anon18,male,34,English,Yes,X_XandY_ele_dogandele,0,Not sure,,ternary
225,anon18,male,34,English,Yes,XY_XorY_dogele_dogorele_dogele,1,Not sure,,ternary
226,anon18,male,34,English,Yes,X_XorY_ele_catorele,1,Not sure,,ternary
227,anon18,male,34,English,Yes,X_X_dog_dog,1,Not sure,,ternary
228,anon18,male,34,English,Yes,XY_XandY_catdog_catanddog,1,Not sure,,ternary
229,anon18,male,34,English,Yes,X_X_cat_cat,1,Not sure,,ternary
230,anon18,male,34,English,Yes,XY_XandY_dogele_dogandele,1,Not sure,,ternary
231,anon18,male,34,English,Yes,XY_Z_dogele_cat,1,Not sure,,ternary
232,anon18,male,34,English,Yes,X_Z_dog_ele,0,Not sure,,ternary
233,anon18,male,34,English,Yes,X_XorY_cat_catorele,1,Not sure,,ternary
234,anon18,male,34,English,Yes,X_XandY_cat_catanddog,0,Not sure,,ternary
235,anon18,male,34,English,Yes,X_X_ele_ele,1,Not sure,,ternary
236,anon18,male,34,English,Yes,X_Z_cat_ele,0,Not sure,,ternary
237,anon18,male,34,English,Yes,XY_Z_catdog_ele,0,Not sure,,ternary
238,anon18,male,34,English,Yes,XY_XorY_catdog_catordog,1,Not sure,,ternary
239,anon18,male,34,English,Yes,XY_Z_catele_dog,0,Not sure,,ternary
240,anon18,male,34,English,Yes,X_Z_cat_dog,0,Not sure,,ternary
241,anon2,female,20,english,Yes,XY_X_catdog_dog,87,,,slider
242,anon2,female,20,english,Yes,X_XandY_cat_catanddog,98,,,slider
243,anon2,female,20,english,Yes,X_X_ele_ele,100,,,slider
244,anon2,female,20,english,Yes,X_Z_cat_ele,0,,,slider
245,anon2,female,20,english,Yes,X_XorY_ele_dogorele,100,,,slider
246,anon2,female,20,english,Yes,XY_XandY_dogele_dogandele,100,,,slider
247,anon2,female,20,english,Yes,X_XandY_ele_dogandele,3,,,slider
248,anon2,female,20,english,Yes,X_X_cat_cat,96,,,slider
249,anon2,female,20,english,Yes,XY_Z_catdog_ele,3,,,slider
250,anon2,female,20,english,Yes,XY_Z_catele_dog,6,,,slider
251,anon2,female,20,english,Yes,X_X_dog_dog,93,,,slider
252,anon2,female,20,english,Yes,XY_XorY_dogele_dogorele_dogele,93,,,slider
253,anon2,female,20,english,Yes,X_XorY_cat_catordog,83,,,slider
254,anon2,female,20,english,Yes,XY_X_catdog_cat,86,,,slider
255,anon2,female,20,english,Yes,X_XorY_dog_catordog,91,,,slider
256,anon2,female,20,english,Yes,X_XandY_dog_catanddog,8,,,slider
257,anon2,female,20,english,Yes,XY_XandY_catele_catandele,92,,,slider
258,anon2,female,20,english,Yes,XY_XorY_catdog_catordog,61,,,slider
259,anon2,female,20,english,Yes,XY_XandY_catdog_catanddog,92,,,slider
260,anon2,female,20,english,Yes,X_Z_dog_cat,11,,,slider
261,anon2,female,20,english,Yes,XY_Z_dogele_cat,7,,,slider
262,anon2,female,20,english,Yes,X_Z_ele_dog,9,,,slider
263,anon2,female,20,english,Yes,XY_X_dogele_dog,91,,,slider
264,anon2,female,20,english,Yes,XY_XorY_catele_catorele,58,,,slider
265,anon20,male,46,English,No,X_XorY_ele_dogorele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
266,anon20,male,46,English,No,X_XorY_dog_catordog,1,To determine whether AND or OR affected the right/wrong decision.,,binary
267,anon20,male,46,English,No,XY_X_dogele_ele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
268,anon20,male,46,English,No,XY_Z_catele_dog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
269,anon20,male,46,English,No,XY_X_catele_cat,1,To determine whether AND or OR affected the right/wrong decision.,,binary
270,anon20,male,46,English,No,X_XandY_ele_dogandele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
271,anon20,male,46,English,No,XY_XorY_dogele_dogorele_dogele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
272,anon20,male,46,English,No,XY_XorY_catdog_catordog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
273,anon20,male,46,English,No,XY_XandY_dogele_dogandele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
274,anon20,male,46,English,No,X_XandY_cat_catandele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
275,anon20,male,46,English,No,XY_XandY_catele_catandele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
276,anon20,male,46,English,No,X_X_ele_ele,1,To determine whether AND or OR affected the right/wrong decision.,,binary
277,anon20,male,46,English,No,X_XandY_dog_catanddog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
278,anon20,male,46,English,No,XY_XandY_catdog_catanddog,1,To determine whether AND or OR affected the right/wrong decision.,,binary
279,anon20,male,46,English,No,XY_Z_dogele_cat,0,To determine whether AND or OR affected the right/wrong decision.,,binary
280,anon20,male,46,English,No,XY_X_catdog_cat,1,To determine whether AND or OR affected the right/wrong decision.,,binary
281,anon20,male,46,English,No,X_X_dog_dog,1,To determine whether AND or OR affected the right/wrong decision.,,binary
282,anon20,male,46,English,No,X_Z_dog_ele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
283,anon20,male,46,English,No,XY_Z_catdog_ele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
284,anon20,male,46,English,No,X_X_cat_cat,1,To determine whether AND or OR affected the right/wrong decision.,,binary
285,anon20,male,46,English,No,X_Z_cat_dog,0,To determine whether AND or OR affected the right/wrong decision.,,binary
286,anon20,male,46,English,No,X_Z_dog_cat,0,To determine whether AND or OR affected the right/wrong decision.,,binary
287,anon20,male,46,English,No,X_XorY_dog_dogorele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
288,anon20,male,46,English,No,XY_XorY_catele_catorele,0,To determine whether AND or OR affected the right/wrong decision.,,binary
289,anon21,male,23,English,No,XY_X_catdog_cat,1,The goal was to see if you can follow directions using a game. ,,binary
290,anon21,male,23,English,No,X_X_ele_ele,1,The goal was to see if you can follow directions using a game. ,,binary
291,anon21,male,23,English,No,XY_Z_dogele_cat,0,The goal was to see if you can follow directions using a game. ,,binary
292,anon21,male,23,English,No,XY_XorY_catele_catorele,1,The goal was to see if you can follow directions using a game. ,,binary
293,anon21,male,23,English,No,X_XorY_dog_dogorele,1,The goal was to see if you can follow directions using a game. ,,binary
294,anon21,male,23,English,No,X_Z_ele_cat,0,The goal was to see if you can follow directions using a game. ,,binary
295,anon21,male,23,English,No,XY_X_catele_ele,1,The goal was to see if you can follow directions using a game. ,,binary
296,anon21,male,23,English,No,XY_Z_catele_dog,0,The goal was to see if you can follow directions using a game. ,,binary
297,anon21,male,23,English,No,XY_XorY_catdog_catordog,1,The goal was to see if you can follow directions using a game. ,,binary
298,anon21,male,23,English,No,X_Z_dog_cat,0,The goal was to see if you can follow directions using a game. ,,binary
299,anon21,male,23,English,No,XY_XandY_dogele_dogandele,1,The goal was to see if you can follow directions using a game. ,,binary
300,anon21,male,23,English,No,XY_XorY_dogele_dogorele_dogele,0,The goal was to see if you can follow directions using a game. ,,binary
301,anon21,male,23,English,No,X_XorY_ele_catorele,1,The goal was to see if you can follow directions using a game. ,,binary
302,anon21,male,23,English,No,X_Z_cat_dog,0,The goal was to see if you can follow directions using a game. ,,binary
303,anon21,male,23,English,No,XY_XandY_catele_catandele,1,The goal was to see if you can follow directions using a game. ,,binary
304,anon21,male,23,English,No,X_XorY_dog_catordog,1,The goal was to see if you can follow directions using a game. ,,binary
305,anon21,male,23,English,No,X_XandY_cat_catanddog,0,The goal was to see if you can follow directions using a game. ,,binary
306,anon21,male,23,English,No,XY_X_dogele_ele,0,The goal was to see if you can follow directions using a game. ,,binary
307,anon21,male,23,English,No,X_X_cat_cat,1,The goal was to see if you can follow directions using a game. ,,binary
308,anon21,male,23,English,No,X_XandY_cat_catandele,0,The goal was to see if you can follow directions using a game. ,,binary
309,anon21,male,23,English,No,X_XandY_ele_dogandele,0,The goal was to see if you can follow directions using a game. ,,binary
310,anon21,male,23,English,No,X_X_dog_dog,1,The goal was to see if you can follow directions using a game. ,,binary
311,anon21,male,23,English,No,XY_XandY_catdog_catanddog,1,The goal was to see if you can follow directions using a game. ,,binary
312,anon21,male,23,English,No,XY_Z_catdog_ele,0,The goal was to see if you can follow directions using a game. ,,binary
313,anon22,male,27,english,No,X_XandY_cat_catandele,0,not sure,,binary
314,anon22,male,27,english,No,XY_XandY_catele_catandele,1,not sure,,binary
315,anon22,male,27,english,No,X_Z_ele_dog,0,not sure,,binary
316,anon22,male,27,english,No,X_XandY_cat_catanddog,0,not sure,,binary
317,anon22,male,27,english,No,XY_X_dogele_ele,1,not sure,,binary
